fit_family,mean_k_correct,mean_k_implied_by_raw_BIC,mean_raw_BIC_minus_AIC,mean_correct_BIC_minus_AIC,share_raw_ic_has_wrong_k
CN,10,9.999999999999988,49.07755278982131,49.07755278982131,0
ESN,11,11.000000000000004,53.98530806880352,53.98530806880353,0
EST,12,12.000000000000021,58.89306334778574,58.893063347785755,0
HT,8.4,8.39999999999999,41.2251443434499,41.2251443434499,0
NH,8,7.999999999999996,39.26204223185707,39.26204223185707,0
