scenario,family,n,rho_true,etaS_raw_true,etaY_raw_true,etaS_true,etaY_true,tau_bar_true,nu_true,selection_level,finite_fit_rate,conv_rate,valid_for_report,mean_selection_rate,mean_hidden_acceptance,mean_PE_theoretical,mean_acceptance_gap,mean_etaS_hat,mean_etaY_hat,mean_tau_bar_hat,mean_nu_hat,rmse_betaOut_1,rmse_betaOut_2,rmse_betaOut_3,rmse_sigmaY,rmse_rho,rmse_etaS,rmse_etaY,rmse_tau_bar,rmse_nu,time_min_avg
grid_n1500_esn_r000_etaSrawm06_etaYrawp06_tau04_selCOMMON,ESN,1500,0,-0.6,0.6,-0.6,0.6,0.4,NA,COMMON,1,1,TRUE,0.17094666666666666,0.6203538623578089,0.6198158349723986,5.38027385410356e-4,0.38671825335912985,0.06576777598546307,0.3239983276768615,NA,2.509005619413011,0.15809968745221095,0.12841210873761555,0.9244005823915276,0.462874837259587,1.5698807746850107,1.337299701583006,1.1500408711708723,NA,530.210955
grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON,ESN,1500,0,-0.3,0.3,-0.3,0.3,0.4,NA,COMMON,1,1,TRUE,0.21524666666666667,0.6433291512639748,0.6436490716709108,-3.1992040693593375e-4,0.34947034099002544,0.1785352318666231,0.24694278666095684,NA,2.0249805652013917,0.1594412909436612,0.1113390790745704,1.0978068914719752,0.4206607055848128,1.4353578096622048,1.2105823832674996,1.1722273487531853,NA,557.1295100000001
grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selMODERATE,ESN,1500,0,-0.3,0.3,-0.3,0.3,0.4,NA,MODERATE,1,1,TRUE,0.09914666666666666,0.6427968358963007,0.6436490716709108,-8.522357746101035e-4,0.11555862496508748,0.09812729122087858,0.4890677859755809,NA,2.7837126450291305,0.224314810643861,0.17075299031067281,1.363067461694055,0.4918297072840825,1.2467334597345006,1.340658703210633,1.1931360384263925,NA,680.6956238333333
grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selRARE,ESN,1500,0,-0.3,0.3,-0.3,0.3,0.4,NA,RARE,1,1,TRUE,0.036206666666666665,0.6454186420741372,0.6436490716709108,0.0017695704032264779,0.1606959543496088,-0.09630315359570107,0.02485146674782078,NA,5.809752897330959,0.40250210160109395,0.30591856665506056,2.1487731397081506,0.5955894393611032,1.2258333506709853,1.4972931351949677,1.4169489576305305,NA,749.8145008333333
grid_n1500_esn_r030_etaSrawm03_etaYrawp03_tau04_selCOMMON,ESN,1500,0.3,-0.3,0.3,-0.3,0.3,0.4,NA,COMMON,1,1,TRUE,0.21442,0.6434101447216307,0.6436490716709108,-2.3892694928010915e-4,0.21053509301541626,-0.27268031092175465,0.5118089900124975,NA,2.1459031974847442,0.16448520211647247,0.10429436152727332,1.0534607489947068,0.4132461951889987,1.3002632660492148,1.3097049936404137,1.1502854591197857,NA,545.733687
grid_n1500_esn_r030_etaSrawm03_etaYrawp03_tau04_selMODERATE,ESN,1500,0.3,-0.3,0.3,-0.3,0.3,0.4,NA,MODERATE,1,1,TRUE,0.09761333333333333,0.6434395421559592,0.6436490716709108,-2.095295149515709e-4,0.28071908647609584,-0.06434352550031822,0.4404777026503803,NA,3.2110926159356183,0.26904690039720947,0.17897594696944552,1.317759880317092,0.5061352604927246,1.3219005090663296,1.4021497933857938,1.143750544516432,NA,614.2450721666667
grid_n1500_esn_r030_etaSrawm03_etaYrawp03_tau04_selRARE,ESN,1500,0.3,-0.3,0.3,-0.3,0.3,0.4,NA,RARE,1,1,TRUE,0.03627333333333333,0.6430108073810138,0.6436490716709108,-6.382642898969561e-4,-0.14704290560562774,-0.2826528618546415,0.48031946187946256,NA,5.570152025707935,0.3790384316198293,0.2981843381928058,2.52125553589152,0.6029070303671187,1.0919653072981472,1.5194754074150556,1.3154212666679104,NA,753.6182826666667
