experiment,family,scenarios,mean_conv_rate,mean_finite_fit_rate,mean_selection_rate,mean_hidden_acceptance,mean_acceptance_gap,mean_time_min,mean_rmse_betaOut_1,mean_rmse_betaOut_2,mean_rmse_betaOut_3,mean_rmse_sigmaY,mean_rmse_rho,mean_rmse_etaS,mean_rmse_etaY,mean_rmse_tau_bar
grid_n1500,ESN,7,1,1,0.1242647619047619,0.640251283692975,6.960121851737213e-6,633.0639473571429,3.436371366586113,0.25098977496776265,0.18541105592392057,1.4895034629241468,0.4990347393626325,1.3131334967380561,1.3738805882424814,1.2202586408978726
n_sweep,ESN,3,1,1,0.21527444444444443,0.6437740484991774,1.2497682826669818e-4,523.0382338333333,2.424740955877249,0.18719783094521036,0.1355738954800283,1.0634115659880845,0.41226260736513126,1.3632010136364445,1.222339461465733,1.1864778281031008
n_sweep,EST,3,1,1,0.22217333333333333,0.6375580836231997,2.301169180312699e-4,776.0104111111111,1.7148541481686825,0.22423707483661812,0.16729974395474193,1.2900148488318672,0.5107315495215076,1.3120023150739522,0.920731652299991,1.0822889872449104
