experiment,family,rows,mean_k,mean_observed_gap,mean_expected_gap,max_abs_gap_error
grid_n1500,ESN,700,11,58.44542425799328,58.44542425799332,5.897504706808832e-13
n_sweep,ESN,300,11,56.95871886159664,56.95871886159671,5.897504706808832e-13
n_sweep,EST,300,12,62.136784212650966,62.13678421265096,8.526512829121202e-13
