family,n,finite_fit_rate,conv_rate,valid_for_report,mean_selection_rate,mean_acceptance_gap,mean_etaS_hat,mean_etaY_hat,mean_tau_bar_hat,mean_nu_hat,rmse_betaOut_1,rmse_betaOut_2,rmse_betaOut_3,rmse_sigmaY,rmse_rho,rmse_etaS,rmse_etaY,rmse_tau_bar,rmse_nu,time_min_avg
ESN,500,1,1,TRUE,0.21616,0.0016014339064721022,0.24828828039055587,0.12716841520733044,0.29532500798061134,NA,3.0253323038264828,0.2817727269115905,0.2069672051059972,1.5324436332316735,0.5157810783567206,1.3779646496851987,1.3663132717498292,1.2573156444312008,NA,205.69298216666667
ESN,1500,1,1,TRUE,0.21459333333333333,5.788628892903744e-5,0.13262419893484292,-0.11051013855706826,0.4585435265391817,NA,2.2215443195962377,0.167086277289668,0.12449726013451193,1.070181301457157,0.4136629982606112,1.3509411763102077,1.2956310633870394,1.210194744791923,NA,535.318454
ESN,3000,1,1,TRUE,0.21507,-0.0012843897106010452,0.22662796550459618,0.040548421828832504,0.24107904183649925,NA,2.027346244209026,0.11273448863437258,0.07525722119957572,0.587609763275423,0.307343745478062,1.360697214913927,1.0050740492603307,1.0919230950861782,NA,828.1032653333333
EST,500,1,1,TRUE,0.22384,-7.692853434272895e-4,-0.33920598303701777,0.3661567786854824,1.1487332211007726,4,2.2193621036862212,0.34422273845227014,0.24827488262071798,1.8797517867369606,0.6000496637536216,1.2835053421652785,1.13893151315733,1.0894716605879935,2,245.13332983333333
EST,1500,1,1,TRUE,0.22089333333333333,9.767715819962296e-4,-0.36653799120976877,0.23484523336125843,1.2477063610318553,4,1.5734670881006312,0.18581008879613578,0.14811061488814023,1.0724532985057524,0.4850723481229483,1.305636801750022,0.891123386092932,1.067288242483422,2,716.4370005000001
EST,3000,1,1,TRUE,0.22178666666666666,4.8286451552486954e-4,-0.42491504210002057,0.4942750074309953,1.402093289112309,4,1.351733252719195,0.1426783972614484,0.10551373435536758,0.9178394612528888,0.4470726366879529,1.3468648013065558,0.7321400576497108,1.090107058663316,2,1366.460903
