scenario,scenario_label,dgp_family,fit_family,n,reps,finite_fit_rate,conv_rate,n_converged,abnormal_rate,stage1_failed_rate,eligible_for_mean_IC,mean_selection_rate,mean_logLik,mean_AIC,mean_BIC,mean_AICc,mean_k_params,mean_k_package_implied,rmse_betaOut_1,rmse_betaOut_2,rmse_betaOut_3,rmse_sigmaY,rmse_rho,rmse_etaS,rmse_etaY,rmse_tau_bar,rmse_nu,bias_sigmaY,bias_rho,mean_etaS_hat,mean_etaY_hat,mean_tau_bar_hat,mean_nu_hat,share_etaS_near_boundary,share_etaY_near_boundary,share_tau_near_boundary,mean_seconds,sd_seconds,best_AIC,best_AIC_conv_rate,best_BIC,best_BIC_conv_rate
symmetric_heavy_tails,symmetric heavy tails,HT,CN,1000,50,1,1,50,0,NA,TRUE,0.43916,-1767.3608681355079,3554.7217362710157,3603.799289060837,3554.9441831870927,10,1.000000000000017,0.40294350829401937,0.15756156729072268,0.11582297625274454,0.4024148731655583,0.11225576336742864,NA,NA,NA,NA,-0.05796738379576782,0.00479542052137062,NA,NA,NA,NA,NA,NA,NA,445.69738,124.11690534805959,HT,1,HT,1
symmetric_heavy_tails,symmetric heavy tails,HT,ESN,1000,50,1,1,50,0,0,TRUE,0.43916,-1782.020862301161,3586.041724602322,3640.0270326711257,3586.308931080055,11,NA,4.9184938856775,0.15226732638809667,0.12765857329067834,2.2038715851633817,0.24746853403510805,NA,NA,NA,NA,2.0619369571325996,-0.011718184998462873,0.7414568515143565,0.15557288565083965,-1.2840669657210877,NA,0.58,0.42,0.8,17238.13122,1679.812584622673,HT,1,HT,1
symmetric_heavy_tails,symmetric heavy tails,HT,EST,1000,50,1,1,50,0,0,TRUE,0.43916,-1767.0716730890772,3558.1433461781544,3617.03640952594,3558.459455600647,12,NA,0.5683159434284943,0.16184717348068695,0.1118378145273395,0.44232261843852444,0.15196225861640508,NA,NA,NA,1,0.15094927897802124,0.031220429908818535,-0.26171449545324205,-0.029718792265485607,0.9904056664231987,4,0.34,0,0.66,18773.26354,1748.3488209286907,HT,1,HT,1
symmetric_heavy_tails,symmetric heavy tails,HT,HT,1000,50,1,1,50,0,NA,TRUE,0.43916,-1767.284741768471,3550.569483536942,3589.8315257687987,3550.714791306871,8,1.000000000000017,0.37863577678036897,0.1597305533140974,0.11138257239146447,0.21034112825100712,0.11021311599042062,NA,NA,NA,NA,0.069634120299012,0.006732619030217534,NA,NA,NA,NA,NA,NA,NA,110.10966,26.903628055626818,HT,1,HT,1
symmetric_heavy_tails,symmetric heavy tails,HT,NH,1000,50,1,1,50,0,NA,TRUE,0.43916,-1786.9506093149048,3589.9012186298096,3629.1632608616665,3590.046526399739,8,1.000000000000017,0.7223890639911053,0.14711514888429558,0.1327770318915299,1.0809850840119528,0.17997000510282238,NA,NA,NA,NA,1.02604067889013,0.04044122283268468,NA,NA,NA,NA,NA,NA,NA,83.46952,42.515972540576094,HT,1,HT,1
