scenario,experiment,family,rep,n,selection_level,n_selected,selection_rate,hidden_acceptance_rate,PE_theoretical,acceptance_gap,logLik,AIC,BIC,k_params,finite_fit,regular_convergence,convergence,start_id,seconds,sigmaS_true_raw,sigmaY_true,rho_true,etaS_raw_true,etaY_raw_true,etaS_true,etaY_true,tau_bar_true,alpha_legacy_true,nu_true,sigmaY_hat,rho_hat,etaS_hat,etaY_hat,tau_bar_hat,alpha_legacy_hat,nu_hat,betaSel_1_true,betaSel_1_hat,betaSel_1_bias,betaSel_2_true,betaSel_2_hat,betaSel_2_bias,betaSel_3_true,betaSel_3_hat,betaSel_3_bias,betaOut_1_true,betaOut_1_hat,betaOut_1_bias,betaOut_2_true,betaOut_2_hat,betaOut_2_bias,betaOut_3_true,betaOut_3_hat,betaOut_3_bias,sigmaY_bias,rho_bias,etaS_bias,etaY_bias,tau_bar_bias,alpha_legacy_bias,nu_bias,error,message,start_values
grid_n1500_esn_r000_etaSrawm06_etaYrawp06_tau04_selMODERATE,grid_n1500,ESN,1,1500,MODERATE,102,0.068,0.6234413965087282,0.6198158349723986,0.00362556153632964,-621.4387842473806,1264.8775684947611,1323.3229927527543,11,TRUE,TRUE,0,6,34491.653999999995,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,3.265420274665494,0.32881245123185066,1.4925821305300957,1.4925248039037913,0.05427001507110698,0.05427001507110698,NA,-1.25,-1.920356148348638,-0.670356148348638,0.0375,0.03860289003759266,0.00110289003759266,0.25,0.19482317317092052,-0.05517682682907948,5,3.6197115846415007,-1.380288415358499,1.5,1.3418859282140243,-0.1581140717859757,0.8,1.11954362442606,0.3195436244260599,0.2654202746654941,0.32881245123185066,2.092582130530096,0.8925248039037913,-0.34572998492889306,-0.34572998492889306,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,621.856281;621.856387;621.856536;621.856599;621.717335;621.438784;621.856177;621.720207;621.856581;621.851557;621.717563;621.856365;621.85649
grid_n1500_esn_r000_etaSrawm06_etaYrawp06_tau04_selMODERATE,grid_n1500,ESN,2,1500,MODERATE,103,0.06866666666666667,0.6132461161079313,0.6198158349723986,-0.00656971886446722,-618.8619599556918,1259.7239199113835,1318.169344169377,11,TRUE,TRUE,0,11,38005.036,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,4.452741246553514,-0.4858282323699538,-1.4925821305300957,1.4925821305300957,1.486879184080269,1.486879184080269,NA,-1.25,-1.1899397456740124,0.0600602543259876,0.0375,0.03888476256704975,0.00138476256704975,0.25,0.2840404760366138,0.03404047603661381,5,6.5118929417613645,1.5118929417613645,1.5,1.3622096375824435,-0.1377903624175565,0.8,0.7476613476084081,-0.05233865239159197,1.452741246553514,-0.4858282323699538,-0.8925821305300957,0.8925821305300957,1.0868791840802694,1.0868791840802694,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,618.862598;618.865396;618.862107;618.863743;618.864333;618.882304;618.863622;618.869584;618.869257;618.862287;618.86196;618.864333;621.564257
grid_n1500_esn_r000_etaSrawm06_etaYrawp06_tau04_selMODERATE,grid_n1500,ESN,3,1500,MODERATE,98,0.06533333333333333,0.6369426751592356,0.6198158349723986,0.01712684018683707,-593.405999100371,1208.811998200742,1267.2574224587354,11,TRUE,TRUE,0,3,48366.038,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,3.236971112002963,0.3427792003222372,1.402568368944966,-1.1137057224654543,-1.4925821305300957,-1.4925821305300957,NA,-1.25,-2.332741974934603,-1.0827419749346028,0.0375,0.0230229863327639,-0.0144770136672361,0.25,0.3657637970010392,0.11576379700103924,5,4.432099321336253,-0.5679006786637473,1.5,0.9644772936130382,-0.5355227063869618,0.8,0.7705500736113625,-0.02944992638863752,0.23697111200296295,0.3427792003222372,2.002568368944966,-1.7137057224654546,-1.8925821305300956,-1.8925821305300956,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,593.407128;593.40608;593.405999;593.408695;593.408403;593.406138;593.407167;593.406323;593.409612;593.704598;593.406934;593.40622;593.407506
grid_n1500_esn_r000_etaSrawm06_etaYrawp06_tau04_selMODERATE,grid_n1500,ESN,4,1500,MODERATE,101,0.06733333333333333,0.6263048016701461,0.6198158349723986,0.00648896669774756,-603.4600069907328,1228.9200139814657,1287.365438239459,11,TRUE,TRUE,0,10,32108.106,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,3.3221156020840774,-0.20483169095437131,-1.4784693833549098,0.940324368778278,1.4631563644026817,1.4631563644026817,NA,-1.25,-1.177307846948839,0.07269215305116106,0.0375,0.01308638338303271,-0.02441361661696729,0.25,0.3506653451709618,0.10066534517096182,5,5.747154771456628,0.7471547714566276,1.5,1.4113774757150708,-0.08862252428492923,0.8,0.7266706366828287,-0.07332936331717133,0.3221156020840774,-0.20483169095437131,-0.8784693833549099,0.3403243687782779,1.0631563644026816,1.0631563644026816,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,603.570279;603.546969;603.572382;603.549582;603.574371;603.545922;603.547705;603.572899;603.574114;603.460007;603.569887;603.544447;603.575995
grid_n1500_esn_r000_etaSrawm06_etaYrawp06_tau04_selMODERATE,grid_n1500,ESN,5,1500,MODERATE,106,0.07066666666666667,0.6188118811881188,0.6198158349723986,-0.00100395378427975,-641.9479608166572,1305.8959216333144,1364.3413458913078,11,TRUE,TRUE,0,1,42033.122,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,4.049924787203796,0.6154461652248165,1.0122437412627596,-1.4925821305300957,-1.4925821305300957,-1.4925821305300957,NA,-1.25,-2.042164859074071,-0.7921648590740711,0.0375,0.01288985177677159,-0.0246101482232284,0.25,0.1289339953591099,-0.1210660046408901,5,1.6118269411579846,-3.3881730588420154,1.5,1.6781962222745621,0.1781962222745621,0.8,0.8953635087217637,0.09536350872176368,1.0499247872037962,0.6154461652248165,1.6122437412627597,-2.092582130530096,-1.8925821305300956,-1.8925821305300956,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,641.947961;641.948821;641.948661;643.238525;641.949423;643.239067;643.23789;641.948646;641.94853;643.239923;641.948326;641.94966;641.948228
grid_n1500_esn_r000_etaSrawm06_etaYrawp06_tau04_selMODERATE,grid_n1500,ESN,6,1500,MODERATE,98,0.06533333333333333,0.6165228113440198,0.6198158349723986,-0.00329302362837879,-579.8948467888173,1181.7896935776346,1240.235117835628,11,TRUE,TRUE,0,9,51226.138000000006,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,4.012942819858313,0.6421502227554795,-1.4925821305300957,-1.058657940730578,1.4894557117520897,1.4894557117520897,NA,-1.25,-1.1478858520152069,0.10211414798479312,0.0375,0.04746812435163847,0.00996812435163847,0.25,0.22961821537172483,-0.02038178462827516,5,4.938133818588409,-0.06186618141159084,1.5,1.0724567192896226,-0.4275432807103774,0.8,1.0265336839649155,0.22653368396491547,1.0129428198583126,0.6421502227554795,-0.8925821305300957,-1.6586579407305782,1.0894557117520898,1.0894557117520898,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,579.937228;579.90096;579.935153;579.896848;579.896685;579.895292;579.896036;579.894969;579.894847;Inf;579.922813;579.935037;579.921121
grid_n1500_esn_r000_etaSrawm06_etaYrawp06_tau04_selMODERATE,grid_n1500,ESN,7,1500,MODERATE,92,0.06133333333333333,0.6247396917950854,0.6198158349723986,0.00492385682268681,-561.031233659214,1144.062467318428,1202.5078915764211,11,TRUE,TRUE,0,11,42785.043,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,4.771719868812342,0.6962489052870773,0.9231352808134734,1.4925821305300957,-1.465815593791179,-1.465815593791179,NA,-1.25,-2.2708307544776787,-1.020830754477679,0.0375,0.04590650448612576,0.00840650448612576,0.25,0.3987047407259942,0.1487047407259942,5,-2.032771077288371,-7.032771077288372,1.5,1.4106677888459975,-0.08933221115400247,0.8,0.476649974122685,-0.32335002587731504,1.771719868812342,0.6962489052870773,1.5231352808134733,0.8925821305300957,-1.865815593791179,-1.865815593791179,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,561.857758;561.855954;561.848844;561.849388;561.855125;561.50429;561.857396;561.848401;561.857659;561.504837;561.031234;561.849874;561.848741
grid_n1500_esn_r000_etaSrawm06_etaYrawp06_tau04_selMODERATE,grid_n1500,ESN,8,1500,MODERATE,102,0.068,0.6255212677231026,0.6198158349723986,0.005705432750704,-607.4091683354502,1236.8183366709004,1295.2637609288938,11,TRUE,TRUE,0,7,46707.687,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,4.50283469972901,0.6808712390333308,-0.6325395931377085,-1.4925821305300957,1.4899391199385148,1.4899391199385148,NA,-1.25,-1.5496799606335718,-0.29967996063357183,0.0375,0.05331585890224055,0.01581585890224054,0.25,0.35666626648498,0.10666626648498,5,3.286914795715886,-1.713085204284114,1.5,1.310256248411107,-0.1897437515888929,0.8,0.904918852415818,0.104918852415818,1.5028346997290098,0.6808712390333308,-0.03253959313770849,-2.092582130530096,1.0899391199385149,1.0899391199385149,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,607.412249;607.41091;607.421003;607.409658;607.414096;607.410446;607.409168;607.409806;607.415134;607.409874;607.409995;Inf;607.410979
grid_n1500_esn_r000_etaSrawm06_etaYrawp06_tau04_selMODERATE,grid_n1500,ESN,9,1500,MODERATE,106,0.07066666666666667,0.6134969325153374,0.6198158349723986,-0.00631890245706112,-616.6768133082179,1255.3536266164358,1313.7990508744292,11,TRUE,TRUE,0,10,35154.815,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,3.773932393074765,0.23539108945316448,-1.3576796009596186,-1.4925821305300957,-1.492231694559954,-1.492231694559954,NA,-1.25,-0.6202650843725843,0.6297349156274157,0.0375,0.04879029627384817,0.01129029627384817,0.25,0.2197755699207899,-0.0302244300792101,5,11.842092464525871,6.842092464525871,1.5,1.1418003589606105,-0.3581996410393895,0.8,0.7233588450776857,-0.07664115492231438,0.773932393074765,0.23539108945316448,-0.7576796009596186,-2.092582130530096,-1.8922316945599535,-1.8922316945599535,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,617.317839;617.316748;617.316501;617.319027;617.295794;617.318959;617.164488;617.221794;617.291442;616.676813;617.291922;617.316511;617.317925
grid_n1500_esn_r000_etaSrawm06_etaYrawp06_tau04_selMODERATE,grid_n1500,ESN,10,1500,MODERATE,104,0.06933333333333333,0.6211180124223602,0.6198158349723986,0.00130217744996163,-612.7715521033251,1247.5431042066502,1305.9885284646437,11,TRUE,TRUE,0,11,41442.592,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,2.8840835523005763,0.33082287611264755,1.48486649910986,-1.4925821305300957,-0.1473990285218153,-0.1473990285218153,NA,-1.25,-2.0689102776484827,-0.8189102776484827,0.0375,0.0154697158637306,-0.02203028413626939,0.25,0.4255061668539677,0.17550616685396764,5,4.577506842792825,-0.4224931572071746,1.5,1.2175728725355013,-0.2824271274644987,0.8,0.8917766954707225,0.09177669547072242,-0.11591644769942366,0.33082287611264755,2.08486649910986,-2.092582130530096,-0.5473990285218153,-0.5473990285218153,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,612.775008;612.821631;612.822319;613.015977;612.773978;613.015557;613.015779;612.772806;612.771602;613.012372;612.771552;612.813935;612.853295
