scenario,experiment,family,rep,n,selection_level,n_selected,selection_rate,hidden_acceptance_rate,PE_theoretical,acceptance_gap,logLik,AIC,BIC,k_params,finite_fit,regular_convergence,convergence,start_id,seconds,sigmaS_true_raw,sigmaY_true,rho_true,etaS_raw_true,etaY_raw_true,etaS_true,etaY_true,tau_bar_true,alpha_legacy_true,nu_true,sigmaY_hat,rho_hat,etaS_hat,etaY_hat,tau_bar_hat,alpha_legacy_hat,nu_hat,betaSel_1_true,betaSel_1_hat,betaSel_1_bias,betaSel_2_true,betaSel_2_hat,betaSel_2_bias,betaSel_3_true,betaSel_3_hat,betaSel_3_bias,betaOut_1_true,betaOut_1_hat,betaOut_1_bias,betaOut_2_true,betaOut_2_hat,betaOut_2_bias,betaOut_3_true,betaOut_3_hat,betaOut_3_bias,sigmaY_bias,rho_bias,etaS_bias,etaY_bias,tau_bar_bias,alpha_legacy_bias,nu_bias,error,message,start_values
grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON,grid_n1500,ESN,1,1500,COMMON,315,0.21,0.6361323155216285,0.6436490716709108,-0.00751675614928226,-1523.197189113548,3068.394378227096,3126.8398024850894,11,TRUE,TRUE,0,9,29022.139,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,3.3937614466224044,-0.6411277323960235,1.413363000164955,0.9201638733892544,0.3357397771858696,0.3357397771858696,NA,-0.75,-1.275354608669251,-0.5253546086692513,0.0375,0.02848134570793199,-0.009018654292068,0.25,0.22254174662607168,-0.02745825337392832,5,9.139082731084766,4.139082731084766,1.5,1.6839645767062947,0.1839645767062947,0.8,0.6967457213570123,-0.10325427864298777,0.3937614466224044,-0.6411277323960235,1.7133630001649551,0.6201638733892545,-0.06426022281413041,-0.06426022281413041,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1523.214059;1523.212195;1523.214552;1523.211113;1523.211855;1523.215646;1523.215789;1523.251183;1523.197189;1523.211018;1523.213008;1523.212267;1523.212609
grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON,grid_n1500,ESN,2,1500,COMMON,320,0.21333333333333335,0.6421232876712328,0.6436490716709108,-0.00152578399967795,-1560.6056011297828,3143.2112022595657,3201.656626517559,11,TRUE,TRUE,0,4,52201.634000000005,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,3.542653114301001,0.1799470464206507,1.4925821305300957,1.4925821305300957,-1.4882466321273418,-1.4882466321273418,NA,-0.75,-1.6093560806866156,-0.8593560806866156,0.0375,0.015447761577070271,-0.02205223842292972,0.25,0.28784127118414565,0.03784127118414565,5,3.677266844804935,-1.3227331551950652,1.5,1.4510646492598362,-0.04893535074016375,0.8,0.5977730486590446,-0.20222695134095547,0.5426531143010012,0.1799470464206507,1.7925821305300955,1.1925821305300957,-1.8882466321273417,-1.8882466321273417,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1560.609459;1560.606575;1560.611203;1560.605601;1560.608776;1560.612083;1560.606666;1560.607426;1560.617872;1560.607121;1560.635525;1560.609267;1560.607113
grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON,grid_n1500,ESN,3,1500,COMMON,361,0.24066666666666667,0.6404782237403929,0.6436490716709108,-0.00317084793051791,-1721.2612002367102,3464.5224004734205,3522.9678247314137,11,TRUE,TRUE,0,5,23916.672,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,3.133043170197376,-0.11781031517554044,1.4433086500908248,-1.453559796294314,1.474271569536615,1.474271569536615,NA,-0.75,-1.0270366293667763,-0.27703662936677653,0.0375,0.03706167993863585,-4.3832006136414886e-4,0.25,0.23068894920107796,-0.01931105079892203,5,6.366450681585163,1.366450681585163,1.5,1.681000829883988,0.181000829883988,0.8,0.7795931931884087,-0.02040680681159135,0.133043170197376,-0.11781031517554044,1.7433086500908248,-1.753559796294314,1.0742715695366152,1.0742715695366152,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1721.806078;1721.805465;1721.80781;1721.696668;1721.2612;1721.695575;1721.799931;1721.267035;1721.26739;1721.703312;1721.289522;1721.80608;1721.806096
grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON,grid_n1500,ESN,4,1500,COMMON,313,0.20866666666666667,0.6564551422319475,0.6436490716709108,0.01280607056103666,-1542.792072344051,3107.5841446881013,3166.0295689460945,11,TRUE,TRUE,0,8,42532.775,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,4.182532712463236,0.5526256556048058,0.7148422249909927,-1.4925821305300957,-1.486939981708403,-1.486939981708403,NA,-0.75,-1.3147626002621813,-0.5647626002621813,0.0375,0.02985821244684784,-0.00764178755315216,0.25,0.09779399125671091,-0.1522060087432891,5,4.348477898062555,-0.6515221019374451,1.5,1.4347050901350198,-0.06529490986498021,0.8,0.6579592609660209,-0.14204073903397918,1.182532712463236,0.5526256556048058,1.0148422249909927,-1.7925821305300955,-1.886939981708403,-1.886939981708403,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1542.792415;1542.821875;1542.792147;1543.097634;1542.792544;1543.188675;1542.847568;1542.792072;1542.832029;1543.177573;1542.811265;1542.793429;1542.800058
grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON,grid_n1500,ESN,5,1500,COMMON,349,0.23266666666666663,0.6273525721455459,0.6436490716709108,-0.01629649952536493,-1676.4896040773683,3374.979208154737,3433.4246324127303,11,TRUE,TRUE,0,9,21414.194,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,3.294357407782102,-0.363859298946827,1.492468121362444,-1.4925821305300957,1.369770095305636,1.369770095305636,NA,-0.75,-1.0720570771719204,-0.32205707717192045,0.0375,0.03401374885549434,-0.00348625114450566,0.25,0.2314260930552845,-0.0185739069447155,5,8.276062122448899,3.2760621224488986,1.5,1.5476866379412553,0.04768663794125527,0.8,0.46708030443211496,-0.3329196955678851,0.29435740778210207,-0.363859298946827,1.792468121362444,-1.7925821305300955,0.969770095305636,0.969770095305636,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1677.785043;1677.785331;1677.784779;1677.786179;1676.499912;1677.785669;1677.786149;1676.495132;1676.489604;1677.79009;1676.493833;1677.785558;1677.78549
grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON,grid_n1500,ESN,6,1500,COMMON,363,0.242,0.6366723259762309,0.6436490716709108,-0.00697674569467987,-1746.230114538082,3514.460229076164,3572.9056533341573,11,TRUE,TRUE,0,12,41693.665,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,3.3818059961439286,-0.28262168352897815,1.4925821305300957,1.4917260932063043,1.4925821305300957,1.4925821305300957,NA,-0.75,-1.042423629560728,-0.2924236295607281,0.0375,0.04407916335532258,0.00657916335532258,0.25,0.25448171262272845,0.00448171262272845,5,6.6224601589195125,1.6224601589195125,1.5,1.4973246200778174,-0.00267537992218258,0.8,0.883319571813876,0.08331957181387595,0.3818059961439286,-0.28262168352897815,1.7925821305300955,1.1917260932063043,1.0925821305300958,1.0925821305300958,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1746.234239;1746.231797;1746.232678;1746.974464;1746.232834;1746.233141;1746.610175;1746.251165;1746.230422;1746.234248;1746.23286;1746.230115;1746.248109
grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON,grid_n1500,ESN,7,1500,COMMON,330,0.22,0.6459948320413437,0.6436490716709108,0.00234576037043288,-1614.7358773416556,3251.4717546833112,3309.9171789413044,11,TRUE,TRUE,0,9,48425.191,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,5.075265208240491,-0.6232139369807852,-1.4925821305300957,1.1118634429610577,-0.4780545255104546,-0.4780545255104546,NA,-0.75,-0.10217076791122572,0.6478292320887743,0.0375,0.00825228953543903,-0.02924771046456096,0.25,0.26060880846740325,0.01060880846740325,5,2.8151721075308465,-2.1848278924691535,1.5,1.2915732555281167,-0.20842674447188325,0.8,0.8461378635431793,0.04613786354317928,2.075265208240491,-0.6232139369807852,-1.1925821305300957,0.8118634429610576,-0.8780545255104546,-0.8780545255104546,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1614.763183;1614.751771;1614.750036;1614.758543;1614.748318;1614.770056;1614.769591;1614.7521;1614.735877;1614.760615;1614.739798;Inf;1614.74683
grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON,grid_n1500,ESN,8,1500,COMMON,322,0.21466666666666667,0.6440532417346501,0.6436490716709108,4.041700637392731e-4,-1564.078985394127,3150.157970788254,3208.603395046247,11,TRUE,TRUE,0,11,19380.974,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,2.9867799618916355,-0.29619478044859043,1.076872091884142,0.03435125394467264,0.8352730795532725,0.8352730795532725,NA,-0.75,-1.1550938718958796,-0.4050938718958797,0.0375,0.03623646649150403,-0.00126353350849596,0.25,0.26042223218748245,0.01042223218748245,5,7.189712486918485,2.189712486918485,1.5,1.569726476371438,0.06972647637143803,0.8,0.7971196009792627,-0.00288039902073733,-0.01322003810836447,-0.29619478044859043,1.376872091884142,-0.26564874605532734,0.4352730795532725,0.4352730795532725,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1564.092071;1564.091271;1564.093484;1564.088771;1564.090336;1564.085263;1564.089465;1564.09087;1564.090939;1564.079524;1564.078985;1564.092776;1564.092303
grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON,grid_n1500,ESN,9,1500,COMMON,313,0.20866666666666667,0.6418485237483954,0.6436490716709108,-0.00180054792251538,-1535.2073084134768,3092.4146168269535,3150.8600410849467,11,TRUE,TRUE,0,7,57879.311,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,4.419075456872839,0.7340633690553721,-0.16677299517780225,-1.4925821305300957,1.4925821305300957,1.4925821305300957,NA,-0.75,-0.8384701368930212,-0.08847013689302119,0.0375,0.05443175438877468,0.01693175438877468,0.25,0.09913110704639357,-0.15086889295360645,5,2.3772322026083192,-2.6227677973916808,1.5,1.4711155533583626,-0.02888444664163736,0.8,0.7600536110988617,-0.03994638890113833,1.4190754568728394,0.7340633690553721,0.13322700482219774,-1.7925821305300955,1.0925821305300958,1.0925821305300958,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1535.2081;1535.208058;1535.207821;1535.207582;1535.208;1535.208878;1535.207308;1535.20733;Inf;1535.207979;1535.211602;1535.219328;1535.214071
grid_n1500_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON,grid_n1500,ESN,10,1500,COMMON,350,0.23333333333333336,0.646551724137931,0.6436490716709108,0.00290265246702026,-1653.1771033661098,3328.3542067322196,3386.799630990213,11,TRUE,TRUE,0,11,31855.291,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,4.111107605435275,0.0166177472428005,-0.30588547037348646,1.486383603930649,-1.3334724987627218,-1.3334724987627218,NA,-0.75,-0.6703804170925605,0.07961958290743953,0.0375,0.04887357409203485,0.01137357409203485,0.25,0.2790036822176745,0.02900368221767452,5,0.4630574540682985,-4.536942545931701,1.5,1.473766836792264,-0.02623316320773594,0.8,0.8962873252762255,0.0962873252762254,1.1111076054352749,0.0166177472428005,-0.00588547037348646,1.186383603930649,-1.7334724987627217,-1.7334724987627217,NA,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1654.40849;1654.407541;1654.40888;1653.209751;1654.409148;1653.256379;1653.236462;1654.408905;1654.408713;1653.224071;1653.177103;1654.408664;1654.410504
