scenario,scenario_label,dgp_family,fit_family,n,reps,finite_fit_rate,conv_rate,n_converged,abnormal_rate,stage1_failed_rate,eligible_for_mean_IC,mean_selection_rate,mean_logLik,mean_AIC,mean_BIC,mean_AICc,mean_k_params,mean_k_package_implied,rmse_betaOut_1,rmse_betaOut_2,rmse_betaOut_3,rmse_sigmaY,rmse_rho,rmse_etaS,rmse_etaY,rmse_tau_bar,rmse_nu,bias_sigmaY,bias_rho,mean_etaS_hat,mean_etaY_hat,mean_tau_bar_hat,mean_nu_hat,share_etaS_near_boundary,share_etaY_near_boundary,share_tau_near_boundary,mean_seconds,sd_seconds,best_AIC,best_AIC_conv_rate,best_BIC,best_BIC_conv_rate
nearly_gaussian,nearly Gaussian,NH,CN,1000,50,1,1,50,0,NA,TRUE,0.4345,-1635.4497306798075,3290.899461359615,3339.9770141494364,3291.121908275692,10,1.000000000000017,0.4204719272055592,0.13360975174094203,0.11014703175665416,0.16896690883807566,0.11188791527508928,NA,NA,NA,NA,-0.0318565875579807,0.009042925594049653,NA,NA,NA,NA,NA,NA,NA,432.23838,127.69093256013578,HT,1,HT,1
nearly_gaussian,nearly Gaussian,NH,ESN,1000,50,1,1,50,0,0,TRUE,0.4345,-1634.6867738395051,3291.3735476790102,3345.358855747814,3291.6407541567432,11,NA,1.520576685365182,0.13389040915519915,0.11156976649577403,0.5353744545511744,0.21382488914960993,NA,NA,NA,NA,0.35445738507570507,-0.021080739242428963,0.05662217957427056,-0.3075798041660228,0.584894509547877,NA,0.66,0.08,0.18,14681.97322,2668.812198696521,HT,1,HT,1
nearly_gaussian,nearly Gaussian,NH,EST,1000,50,1,1,50,0,0,TRUE,0.4345,-1642.6162546462458,3309.2325092924916,3368.1255726402774,3309.548618714984,12,NA,0.7339978172803638,0.12664033564104718,0.11746964609975749,0.5128269774644085,0.27458440719574806,NA,NA,NA,NA,0.3693276976295097,0.2301124455662644,-1.2600394886092525,-0.5387311854220239,1.4925821305300957,4,0.5,0,1,16857.45158,1429.5957491179972,HT,1,HT,1
nearly_gaussian,nearly Gaussian,NH,HT,1000,50,1,1,50,0,NA,TRUE,0.4345,-1635.5156229539718,3287.0312459079437,3326.293288139801,3287.176553677873,8,1.000000000000017,0.4207313574094985,0.13326502473151078,0.11011370925981227,0.1597093368594893,0.11162481648164578,NA,NA,NA,NA,-0.04323435547241317,0.00843827974126235,NA,NA,NA,NA,NA,NA,NA,77.17764,25.402292841845146,HT,1,HT,1
nearly_gaussian,nearly Gaussian,NH,NH,1000,50,1,1,50,0,NA,TRUE,0.4345,-1635.6070496543211,3287.2140993086423,3326.476141540499,3287.3594070785716,8,1.000000000000017,0.4214651031351369,0.1337381018351072,0.1098967704809873,0.14197261388689678,0.11294441220367901,NA,NA,NA,NA,-6.04937927416957e-4,0.008011999208509517,NA,NA,NA,NA,NA,NA,NA,49.8389,17.953522444731266,HT,1,HT,1
