scenario,scenario_label,dgp_family,fit_family,n,reps,finite_fit_rate,conv_rate,n_converged,abnormal_rate,stage1_failed_rate,eligible_for_mean_IC,mean_selection_rate,mean_logLik,mean_AIC,mean_BIC,mean_AICc,mean_k_params,mean_k_package_implied,rmse_betaOut_1,rmse_betaOut_2,rmse_betaOut_3,rmse_sigmaY,rmse_rho,rmse_etaS,rmse_etaY,rmse_tau_bar,rmse_nu,bias_sigmaY,bias_rho,mean_etaS_hat,mean_etaY_hat,mean_tau_bar_hat,mean_nu_hat,share_etaS_near_boundary,share_etaY_near_boundary,share_tau_near_boundary,mean_seconds,sd_seconds,best_AIC,best_AIC_conv_rate,best_BIC,best_BIC_conv_rate
contaminated_normal,contaminated normal,CN,CN,1000,50,1,1,50,0,NA,TRUE,0.43782,-1761.6864001555487,3543.3728003110973,3592.4503531009186,3543.5952472271742,10,1.000000000000017,0.3303290782242644,0.1466633686078146,0.10925448428478864,0.17184154328125298,0.09152402586881753,NA,NA,NA,NA,-0.040687210555561404,-0.012071309307469977,NA,NA,NA,NA,NA,NA,NA,170.68074000000001,47.01011816741896,CN,1,CN,1
contaminated_normal,contaminated normal,CN,ESN,1000,50,1,1,50,0,0,TRUE,0.43782,-1830.9749506844087,3683.9499013688173,3737.935209437621,3684.2171078465503,11,NA,5.846301322392648,0.17319391491925346,0.13150062915735503,3.1016331689057934,0.19196476250252845,NA,NA,NA,NA,3.0144473946762105,-0.036090196906046076,0.7704519426356506,0.47355242145102894,-1.4924066831764389,NA,0.18,0.98,1,16850.87468,1502.243190394427,CN,1,CN,1
contaminated_normal,contaminated normal,CN,EST,1000,50,1,1,50,0,0,TRUE,0.43782,-1769.2431538836975,3562.486307767395,3621.3793711151807,3562.8024171898874,12,NA,1.4045219625379746,0.14873307306192088,0.11327263095724288,0.6136896919757108,0.1945272919591545,NA,NA,NA,NA,-0.44079763746051503,-0.039061237063452,-0.0853007582787831,0.03909472878866959,-0.9415923737588442,4,0.16,0.02,0.7,18354.839620000002,1353.9408125830753,CN,1,CN,1
contaminated_normal,contaminated normal,CN,HT,1000,50,1,1,50,0,NA,TRUE,0.43782,-1769.201096092221,3554.402192184442,3593.664234416299,3554.5474999543712,8,1.000000000000017,0.35205491833909397,0.1471209332836659,0.11416982984351122,0.32151033895110703,0.09867049160707372,NA,NA,NA,NA,-0.2821014420970923,-0.01619660333063381,NA,NA,NA,NA,NA,NA,NA,109.2829,22.561346284596347,CN,1,CN,1
contaminated_normal,contaminated normal,CN,NH,1000,50,1,1,50,0,NA,TRUE,0.43782,-1846.6989064386441,3709.3978128772883,3748.6598551091456,3709.5431206472176,8,1.000000000000017,1.070126087648324,0.1858400887242918,0.1402320964144591,1.7955069967256365,0.21901807528884157,NA,NA,NA,NA,1.716920671164115,0.03520378609573801,NA,NA,NA,NA,NA,NA,NA,100.26714,46.556970909694314,CN,1,CN,1
