scenario,scenario_label,dgp_family,fit_family,n,reps,finite_fit_rate,conv_rate,n_converged,abnormal_rate,stage1_failed_rate,eligible_for_mean_IC,mean_selection_rate,mean_logLik,mean_AIC,mean_BIC,mean_AICc,mean_k_params,mean_k_package_implied,rmse_betaOut_1,rmse_betaOut_2,rmse_betaOut_3,rmse_sigmaY,rmse_rho,rmse_etaS,rmse_etaY,rmse_tau_bar,rmse_nu,bias_sigmaY,bias_rho,mean_etaS_hat,mean_etaY_hat,mean_tau_bar_hat,mean_nu_hat,share_etaS_near_boundary,share_etaY_near_boundary,share_tau_near_boundary,mean_seconds,sd_seconds,best_AIC,best_AIC_conv_rate,best_BIC,best_BIC_conv_rate
skewness_heavy_tails,skewness and heavy tails,EST,CN,1000,50,1,1,50,0,NA,TRUE,0.33678,-1400.4878653461267,2820.9757306922534,2870.0532834820747,2821.1981776083303,10,1.000000000000017,0.43404580472848636,0.14473080522078607,0.09758372110468527,0.4089860738406998,0.2608426962415821,NA,NA,NA,NA,-0.15050433226671223,0.24471898567495393,NA,NA,NA,NA,NA,NA,NA,512.01456,111.19172759296698,HT,1,HT,1
skewness_heavy_tails,skewness and heavy tails,EST,ESN,1000,50,1,1,50,0,0,TRUE,0.33678,-1412.3462272252727,2846.6924544505455,2900.677762519349,2846.9596609282785,11,NA,5.05972059942507,0.13950769484385048,0.11318573507864331,2.2829964685108113,0.323565494299274,1.9937079887537716,1.1324376438421824,1.8735736857394765,NA,2.161848502647139,0.30691884546030157,1.1538455617960286,0.7272150043219587,-1.2685813487371127,NA,0.68,0.68,0.86,17468.63534,1513.303985303216,HT,1,HT,1
skewness_heavy_tails,skewness and heavy tails,EST,EST,1000,50,1,1,50,0,0,TRUE,0.33678,-1399.9394495008012,2823.8788990016023,2882.771962349388,2824.195008424095,12,NA,0.7614957466693586,0.14243139484467238,0.09660448439929424,0.3578985816592028,0.23194718987025106,0.7534310774431647,0.473732715924851,1.1357535729596056,1,-0.05039266704338152,0.10730003131020961,-0.7823038871070982,0.529203617276348,0.6821025286371004,4,0.32,0.02,0.6,18994.69222,1223.1938345697627,HT,1,HT,1
skewness_heavy_tails,skewness and heavy tails,EST,HT,1000,50,1,1,50,0,NA,TRUE,0.33678,-1400.814232983213,2819.628465966426,2863.798263477265,2819.810284148244,9,1.000000000000017,0.4256117725380378,0.14287640157934,0.09430151331930593,0.2130878856665767,0.25678709417243045,NA,NA,NA,NA,-0.09406759659449018,0.24125857325376823,NA,NA,NA,NA,NA,NA,NA,195.04938,50.16269963721519,HT,1,HT,1
skewness_heavy_tails,skewness and heavy tails,EST,NH,1000,50,1,1,50,0,NA,TRUE,0.33678,-1419.5628761968792,2855.1257523937584,2894.3877946256157,2855.2710601636877,8,1.000000000000017,0.9735433333591146,0.15459507330829506,0.12245726455545602,1.2789796912189786,0.3460789782594031,NA,NA,NA,NA,1.1818606544946337,0.31842740056171764,NA,NA,NA,NA,NA,NA,NA,164.17586,46.4003182624597,HT,1,HT,1
