scenario,experiment,family,rep,n,selection_level,n_selected,selection_rate,hidden_acceptance_rate,PE_theoretical,acceptance_gap,logLik,AIC,BIC,k_params,finite_fit,regular_convergence,convergence,start_id,seconds,sigmaS_true_raw,sigmaY_true,rho_true,etaS_raw_true,etaY_raw_true,etaS_true,etaY_true,tau_bar_true,alpha_legacy_true,nu_true,sigmaY_hat,rho_hat,etaS_hat,etaY_hat,tau_bar_hat,alpha_legacy_hat,nu_hat,betaSel_1_true,betaSel_1_hat,betaSel_1_bias,betaSel_2_true,betaSel_2_hat,betaSel_2_bias,betaSel_3_true,betaSel_3_hat,betaSel_3_bias,betaOut_1_true,betaOut_1_hat,betaOut_1_bias,betaOut_2_true,betaOut_2_hat,betaOut_2_bias,betaOut_3_true,betaOut_3_hat,betaOut_3_bias,sigmaY_bias,rho_bias,etaS_bias,etaY_bias,tau_bar_bias,alpha_legacy_bias,nu_bias,error,message,start_values
grid_n1500_est_r000_etaSrawm06_etaYrawp06_tau04_selCOMMON_nu6,grid_n1500,EST,1,1500,COMMON,261,0.174,0.6139991813344249,0.6146642753348286,-6.650940004037098e-4,-1368.4879473351168,2760.9758946702336,2824.7345393153173,12,TRUE,TRUE,0,16,41247.626,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,6,2.772107349508596,0.39510173100127177,-0.812554402040798,-0.07736522741015697,1.4925821305300957,1.4925821305300957,4,-0.75,-0.9289579299688212,-0.1789579299688212,0.0375,0.04906230856963769,0.01156230856963769,0.25,0.30828745038933897,0.05828745038933897,5,4.7631001936076665,-0.23689980639233357,1.5,1.6397404841305463,0.13974048413054652,0.8,1.028969327342712,0.22896932734271205,-0.2278926504914041,0.39510173100127177,-0.212554402040798,-0.6773652274101569,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1368.493595;1e+12;1e+12;1368.492802;1e+12;1e+12;1368.488946;1e+12;1e+12;1368.488227;1e+12;1e+12;1368.510183;1e+12;1e+12;1368.487947;1e+12;1e+12;1368.500699;1e+12;1e+12;1368.51323;1e+12;1e+12;1368.585698;1e+12;1e+12;1368.497399;1e+12;1e+12;1368.517483;1e+12;1e+12;1368.492689;1e+12;1e+12;1368.507512;1e+12;1e+12
grid_n1500_est_r000_etaSrawm06_etaYrawp06_tau04_selCOMMON_nu6,grid_n1500,EST,2,1500,COMMON,253,0.16866666666666666,0.6109979633401222,0.6146642753348286,-0.00366631199470635,-1328.485989725991,2680.971979451982,2744.7306240970656,12,TRUE,TRUE,0,34,41698.96200000001,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,6,2.0980620481778547,0.3787438460174003,1.485524188749714,0.7550341969049517,1.4925821305300957,1.4925821305300957,4,-0.75,-1.4176240486913207,-0.6676240486913207,0.0375,0.04682518214062934,0.00932518214062934,0.25,0.18020146417851188,-0.06979853582148812,5,4.753015322521772,-0.2469846774782276,1.5,1.7832836555278335,0.28328365552783374,0.8,0.7116191592597272,-0.08838084074027286,-0.9019379518221452,0.3787438460174003,2.085524188749714,0.15503419690495168,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1328.486023;1e+12;1e+12;1328.490969;1e+12;1e+12;1328.492433;1e+12;1e+12;1328.48852;1e+12;1e+12;1328.486403;1e+12;1e+12;1328.52365;1e+12;1e+12;1328.486583;1e+12;1e+12;1328.48619;1e+12;1e+12;1328.487864;1e+12;1e+12;1328.522784;1e+12;1e+12;1328.497877;1e+12;1e+12;1328.48599;1e+12;1e+12;1328.492772;1e+12;1e+12
grid_n1500_est_r000_etaSrawm06_etaYrawp06_tau04_selCOMMON_nu6,grid_n1500,EST,3,1500,COMMON,238,0.15866666666666668,0.6211180124223602,0.6146642753348286,0.0064537370875316,-1292.8315817654377,2609.663163530875,2673.421808175958,12,TRUE,TRUE,0,10,42937.833,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,6,5.02715734268981,-0.7298765685841583,-1.4925821305300957,1.2089470996256786,1.4925821305300957,1.4925821305300957,4,-0.75,-0.6984136264487268,0.05158637355127316,0.0375,0.0493308702550207,0.0118308702550207,0.25,0.14490791365703115,-0.10509208634296884,5,7.963426935476328,2.9634269354763285,1.5,1.63351082830834,0.1335108283083399,0.8,0.6781152567956671,-0.12188474320433296,2.0271573426898097,-0.7298765685841583,-0.8925821305300957,0.6089470996256786,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1292.924619;1e+12;1e+12;1292.925735;1e+12;1e+12;1292.922048;1e+12;1e+12;1292.831582;1e+12;1e+12;1292.924148;1e+12;1e+12;1292.831725;1e+12;1e+12;1292.834881;1e+12;1e+12;1292.926518;1e+12;1e+12;1292.921928;1e+12;1e+12;1292.930074;1e+12;1e+12;1292.928408;1e+12;1e+12;1292.922066;1e+12;1e+12;1292.930901;1e+12;1e+12
grid_n1500_est_r000_etaSrawm06_etaYrawp06_tau04_selCOMMON_nu6,grid_n1500,EST,4,1500,COMMON,234,0.156,0.609508329947176,0.6146642753348286,-0.00515594538765262,-1247.4639074831705,2518.927814966341,2582.6864596114247,12,TRUE,TRUE,0,4,41242.607,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,6,2.9233019827051323,-0.10964776367212369,-1.4900832068985392,0.8480983704082752,1.4925821305300957,1.4925821305300957,4,-0.75,-0.730455652662035,0.01954434733796495,0.0375,0.04261976907727712,0.00511976907727711,0.25,0.25480512729232324,0.00480512729232324,5,4.877200156671471,-0.12279984332852932,1.5,1.6517595971179293,0.1517595971179293,0.8,0.946148072416034,0.146148072416034,-0.07669801729486769,-0.10964776367212369,-0.8900832068985393,0.2480983704082752,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1247.766017;1e+12;1e+12;1247.463907;1e+12;1e+12;1247.771347;1e+12;1e+12;1247.468625;1e+12;1e+12;1247.774952;1e+12;1e+12;1247.471746;1e+12;1e+12;1247.464975;1e+12;1e+12;1247.777699;1e+12;1e+12;1247.771963;1e+12;1e+12;1247.46892;1e+12;1e+12;1247.804105;1e+12;1e+12;1247.769827;1e+12;1e+12;1247.473566;1e+12;1e+12
grid_n1500_est_r000_etaSrawm06_etaYrawp06_tau04_selCOMMON_nu6,grid_n1500,EST,5,1500,COMMON,262,0.17466666666666666,0.6252605252188412,0.6146642753348286,0.01059624988401264,-1390.3532274283818,2804.7064548567637,2868.4650995018474,12,TRUE,TRUE,0,22,40672.003,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,6,2.946833065212156,0.17551814924620765,-1.4925821305300957,0.01142960422232833,1.4925821305300957,1.4925821305300957,4,-0.75,-0.5878529352190671,0.16214706478093288,0.0375,0.04064023532372614,0.00314023532372614,0.25,0.1655077667308994,-0.0844922332691006,5,5.924489008201941,0.9244890082019408,1.5,1.4095903361269504,-0.0904096638730496,0.8,0.952268387105614,0.15226838710561386,-0.05316693478784407,0.17551814924620765,-0.8925821305300957,-0.5885703957776717,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1390.355833;1e+12;1e+12;1390.354642;1e+12;1e+12;1390.353506;1e+12;1e+12;1390.353329;1e+12;1e+12;1390.355735;1e+12;1e+12;1390.359497;1e+12;1e+12;1390.356367;1e+12;1e+12;1390.353227;1e+12;1e+12;1390.354631;1e+12;1e+12;1390.357263;1e+12;1e+12;1390.353689;1e+12;1e+12;1390.357827;1e+12;1e+12;1390.355125;1e+12;1e+12
grid_n1500_est_r000_etaSrawm06_etaYrawp06_tau04_selCOMMON_nu6,grid_n1500,EST,6,1500,COMMON,274,0.18266666666666667,0.6170300287947347,0.6146642753348286,0.00236575345990608,-1443.8177353485837,2911.6354706971674,2975.394115342251,12,TRUE,TRUE,0,4,39863.458000000006,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,6,5.675284597563098,0.9037682716422656,-1.4832917060072195,-0.06957452788636576,1.4925821305300957,1.4925821305300957,4,-0.75,-0.5108989777016778,0.2391010222983222,0.0375,0.03428871895172442,-0.00321128104827558,0.25,0.06284262657532337,-0.18715737342467664,5,2.5151640032874365,-2.4848359967125635,1.5,1.3866983920695948,-0.11330160793040522,0.8,0.7641684480491007,-0.03583155195089937,2.675284597563098,0.9037682716422656,-0.8832917060072195,-0.6695745278863657,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1443.971339;1e+12;1e+12;1443.817735;1e+12;1e+12;1443.820357;1e+12;1e+12;1443.823147;1e+12;1e+12;1444.014222;1e+12;1e+12;1443.840796;1e+12;1e+12;1443.822564;1e+12;1e+12;1444.018074;1e+12;1e+12;1443.822585;1e+12;1e+12;1443.823252;1e+12;1e+12;1444.020322;1e+12;1e+12;1443.971477;1e+12;1e+12;1443.822267;1e+12;1e+12
grid_n1500_est_r000_etaSrawm06_etaYrawp06_tau04_selCOMMON_nu6,grid_n1500,EST,7,1500,COMMON,271,0.18066666666666667,0.6310475389145982,0.6146642753348286,0.0163832635797696,-1458.1999087078516,2940.399817415703,3004.158462060787,12,TRUE,TRUE,0,16,41139.967,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,6,5.458046434983909,-0.7003217759147486,-1.4925821305300957,1.4925821305300957,1.0494737040243178,1.0494737040243178,4,-0.75,-0.5449570321845801,0.20504296781541984,0.0375,0.02436649737001543,-0.01313350262998456,0.25,0.12000400919162613,-0.12999599080837387,5,7.15709423944222,2.1570942394422197,1.5,1.4806893336157427,-0.01931066638425727,0.8,0.8260506521295937,0.02605065212959367,2.458046434983909,-0.7003217759147486,-0.8925821305300957,0.8925821305300957,0.6494737040243178,0.6494737040243178,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1458.201642;1e+12;1e+12;1458.200033;1e+12;1e+12;1458.212785;1e+12;1e+12;1458.217482;1e+12;1e+12;1458.199922;1e+12;1e+12;1458.199909;1e+12;1e+12;1458.205884;1e+12;1e+12;1458.20098;1e+12;1e+12;1458.199929;1e+12;1e+12;1458.203478;1e+12;1e+12;1459.311721;1e+12;1e+12;1458.203255;1e+12;1e+12;1458.203723;1e+12;1e+12
grid_n1500_est_r000_etaSrawm06_etaYrawp06_tau04_selCOMMON_nu6,grid_n1500,EST,8,1500,COMMON,259,0.17266666666666666,0.6284038542103059,0.6146642753348286,0.01373957887547727,-1346.264239807302,2716.528479614604,2780.2871242596875,12,TRUE,TRUE,0,13,38548.967,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,6,2.177074021749178,0.31578522553805816,1.4914362130979266,1.4846105798515774,1.4925821305300957,1.4925821305300957,4,-0.75,-1.410519441242843,-0.660519441242843,0.0375,0.04285947725301661,0.00535947725301661,0.25,0.2067082946521083,-0.0432917053478917,5,5.283244210905882,0.2832442109058819,1.5,1.4580243191058688,-0.04197568089413117,0.8,0.7619555500118598,-0.03804444998814027,-0.8229259782508214,0.31578522553805816,2.0914362130979267,0.8846105798515774,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1346.456329;1e+12;1e+12;1346.454902;1e+12;1e+12;1346.264423;1e+12;1e+12;1346.463783;1e+12;1e+12;1346.26424;1e+12;1e+12;1346.462417;1e+12;1e+12;1346.456525;1e+12;1e+12;1346.27155;1e+12;1e+12;1346.276006;1e+12;1e+12;1346.469085;1e+12;1e+12;1346.268046;1e+12;1e+12;1346.26545;1e+12;1e+12;1346.456386;1e+12;1e+12
grid_n1500_est_r000_etaSrawm06_etaYrawp06_tau04_selCOMMON_nu6,grid_n1500,EST,9,1500,COMMON,245,0.16333333333333333,0.6218905472636815,0.6146642753348286,0.00722627192885294,-1316.0754060589072,2656.1508121178144,2719.909456762898,12,TRUE,TRUE,0,7,38736.946,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,6,4.190881692398501,0.7821065051277314,-1.4925821305300957,-0.16401040219972207,1.4925821305300957,1.4925821305300957,4,-0.75,-0.5925632594366744,0.15743674056332557,0.0375,0.01694996483847587,-0.02055003516152413,0.25,0.10869216922192898,-0.14130783077807102,5,3.379958793953099,-1.620041206046901,1.5,1.0499953047484467,-0.4500046952515533,0.8,1.0223639743703214,0.2223639743703214,1.1908816923985013,0.7821065051277314,-0.8925821305300957,-0.764010402199722,1.0925821305300958,1.0925821305300958,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1316.095237;1e+12;1e+12;1316.082368;1e+12;1e+12;1316.075406;1e+12;1e+12;1316.075452;1e+12;1e+12;1316.344885;1e+12;1e+12;1316.07553;1e+12;1e+12;1316.077639;1e+12;1e+12;1316.348475;1e+12;1e+12;1316.351479;1e+12;1e+12;1316.077802;1e+12;1e+12;1316.346679;1e+12;1e+12;1316.110687;1e+12;1e+12;1316.075431;1e+12;1e+12
grid_n1500_est_r000_etaSrawm06_etaYrawp06_tau04_selCOMMON_nu6,grid_n1500,EST,10,1500,COMMON,273,0.182,0.609508329947176,0.6146642753348286,-0.00515594538765262,-1443.0431771843969,2910.0863543687938,2973.8449990138774,12,TRUE,TRUE,0,1,49523.545999999995,4,3,0,-0.6,0.6,-0.6,0.6,0.4,0.4,6,4.650088561938922,0.7979852201868837,-1.4925821305300957,-0.11672217132628948,1.4907278671626152,1.4907278671626152,4,-0.75,-0.5848650946826638,0.1651349053173362,0.0375,0.03805516855557528,5.551685555752819e-4,0.25,0.20176117987418485,-0.04823882012581515,5,4.528649335750383,-0.4713506642496173,1.5,1.29531803462366,-0.20468196537633987,0.8,0.5414601093800939,-0.2585398906199061,1.6500885619389225,0.7979852201868837,-0.8925821305300957,-0.7167221713262895,1.0907278671626153,1.0907278671626153,-2,ok,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1443.043177;1e+12;1e+12;1443.043896;1e+12;1e+12;1443.04831;1e+12;1e+12;1443.057546;1e+12;1e+12;1443.051966;1e+12;1e+12;1443.043576;1e+12;1e+12;1443.045939;1e+12;1e+12;1443.045845;1e+12;1e+12;1443.050072;1e+12;1e+12;1443.058316;1e+12;1e+12;Inf;1e+12;1e+12;1443.065128;1e+12;1e+12;1443.044839;1e+12;1e+12
