scenario_index,scenario,experiment,family,n,reps,selection_level,betaSel_raw,betaSel_identified,betaOut,sigmaS_raw,sigmaY,rho,etaS_raw,etaY_raw,etaS_identified,etaY_identified,tau_bar,alpha_legacy,nu,L_eta,L_tau
20,grid_n1500_est_r030_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6,grid_n1500,EST,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0.3,-0.3,0.3,-0.3,0.3,0.4,0.4,6,1.5,1.5
21,grid_n1500_esn_r030_etaSrawm03_etaYrawp03_tau04_selMODERATE,grid_n1500,ESN,1500,100,MODERATE,-5;0.15;1,-1.25;0.0375;0.25,5;1.5;0.8,4,3,0.3,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,1.5,1.5
22,grid_n1500_est_r030_etaSrawm03_etaYrawp03_tau04_selMODERATE_nu6,grid_n1500,EST,1500,100,MODERATE,-5;0.15;1,-1.25;0.0375;0.25,5;1.5;0.8,4,3,0.3,-0.3,0.3,-0.3,0.3,0.4,0.4,6,1.5,1.5
23,grid_n1500_esn_r030_etaSrawm03_etaYrawp03_tau04_selRARE,grid_n1500,ESN,1500,100,RARE,-7;0.15;1,-1.75;0.0375;0.25,5;1.5;0.8,4,3,0.3,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,1.5,1.5
24,grid_n1500_est_r030_etaSrawm03_etaYrawp03_tau04_selRARE_nu6,grid_n1500,EST,1500,100,RARE,-7;0.15;1,-1.75;0.0375;0.25,5;1.5;0.8,4,3,0.3,-0.3,0.3,-0.3,0.3,0.4,0.4,6,1.5,1.5
25,grid_n1500_esn_r030_etaSrawm06_etaYrawp06_tau04_selCOMMON,grid_n1500,ESN,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0.3,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,1.5,1.5
26,grid_n1500_est_r030_etaSrawm06_etaYrawp06_tau04_selCOMMON_nu6,grid_n1500,EST,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0.3,-0.6,0.6,-0.6,0.6,0.4,0.4,6,1.5,1.5
27,grid_n1500_esn_r030_etaSrawm06_etaYrawp06_tau04_selMODERATE,grid_n1500,ESN,1500,100,MODERATE,-5;0.15;1,-1.25;0.0375;0.25,5;1.5;0.8,4,3,0.3,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,1.5,1.5
28,grid_n1500_est_r030_etaSrawm06_etaYrawp06_tau04_selMODERATE_nu6,grid_n1500,EST,1500,100,MODERATE,-5;0.15;1,-1.25;0.0375;0.25,5;1.5;0.8,4,3,0.3,-0.6,0.6,-0.6,0.6,0.4,0.4,6,1.5,1.5
29,grid_n1500_esn_r030_etaSrawm06_etaYrawp06_tau04_selRARE,grid_n1500,ESN,1500,100,RARE,-7;0.15;1,-1.75;0.0375;0.25,5;1.5;0.8,4,3,0.3,-0.6,0.6,-0.6,0.6,0.4,0.4,NA,1.5,1.5
30,grid_n1500_est_r030_etaSrawm06_etaYrawp06_tau04_selRARE_nu6,grid_n1500,EST,1500,100,RARE,-7;0.15;1,-1.75;0.0375;0.25,5;1.5;0.8,4,3,0.3,-0.6,0.6,-0.6,0.6,0.4,0.4,6,1.5,1.5
31,grid_n1500_esn_r030_etaSrawm10_etaYrawp10_tau04_selCOMMON,grid_n1500,ESN,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0.3,-1,1,-1,0.9999999999999999,0.4,0.4,NA,1.5,1.5
32,grid_n1500_est_r030_etaSrawm10_etaYrawp10_tau04_selCOMMON_nu6,grid_n1500,EST,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0.3,-1,1,-1,0.9999999999999999,0.4,0.4,6,1.5,1.5
33,grid_n1500_esn_r030_etaSrawm10_etaYrawp10_tau04_selMODERATE,grid_n1500,ESN,1500,100,MODERATE,-5;0.15;1,-1.25;0.0375;0.25,5;1.5;0.8,4,3,0.3,-1,1,-1,0.9999999999999999,0.4,0.4,NA,1.5,1.5
34,grid_n1500_est_r030_etaSrawm10_etaYrawp10_tau04_selMODERATE_nu6,grid_n1500,EST,1500,100,MODERATE,-5;0.15;1,-1.25;0.0375;0.25,5;1.5;0.8,4,3,0.3,-1,1,-1,0.9999999999999999,0.4,0.4,6,1.5,1.5
35,grid_n1500_esn_r030_etaSrawm10_etaYrawp10_tau04_selRARE,grid_n1500,ESN,1500,100,RARE,-7;0.15;1,-1.75;0.0375;0.25,5;1.5;0.8,4,3,0.3,-1,1,-1,0.9999999999999999,0.4,0.4,NA,1.5,1.5
36,grid_n1500_est_r030_etaSrawm10_etaYrawp10_tau04_selRARE_nu6,grid_n1500,EST,1500,100,RARE,-7;0.15;1,-1.75;0.0375;0.25,5;1.5;0.8,4,3,0.3,-1,1,-1,0.9999999999999999,0.4,0.4,6,1.5,1.5
37,grid_n1500_esn_r070_etaSrawm03_etaYrawp03_tau04_selCOMMON,grid_n1500,ESN,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0.7,-0.3,0.3,-0.29999999999999993,0.3,0.4,0.4,NA,1.5,1.5
38,grid_n1500_est_r070_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6,grid_n1500,EST,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0.7,-0.3,0.3,-0.29999999999999993,0.3,0.4,0.4,6,1.5,1.5
39,grid_n1500_esn_r070_etaSrawm03_etaYrawp03_tau04_selMODERATE,grid_n1500,ESN,1500,100,MODERATE,-5;0.15;1,-1.25;0.0375;0.25,5;1.5;0.8,4,3,0.7,-0.3,0.3,-0.29999999999999993,0.3,0.4,0.4,NA,1.5,1.5
40,grid_n1500_est_r070_etaSrawm03_etaYrawp03_tau04_selMODERATE_nu6,grid_n1500,EST,1500,100,MODERATE,-5;0.15;1,-1.25;0.0375;0.25,5;1.5;0.8,4,3,0.7,-0.3,0.3,-0.29999999999999993,0.3,0.4,0.4,6,1.5,1.5
41,grid_n1500_esn_r070_etaSrawm03_etaYrawp03_tau04_selRARE,grid_n1500,ESN,1500,100,RARE,-7;0.15;1,-1.75;0.0375;0.25,5;1.5;0.8,4,3,0.7,-0.3,0.3,-0.29999999999999993,0.3,0.4,0.4,NA,1.5,1.5
42,grid_n1500_est_r070_etaSrawm03_etaYrawp03_tau04_selRARE_nu6,grid_n1500,EST,1500,100,RARE,-7;0.15;1,-1.75;0.0375;0.25,5;1.5;0.8,4,3,0.7,-0.3,0.3,-0.29999999999999993,0.3,0.4,0.4,6,1.5,1.5
43,grid_n1500_esn_r070_etaSrawm06_etaYrawp06_tau04_selCOMMON,grid_n1500,ESN,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0.7,-0.6,0.6,-0.5999999999999999,0.6,0.4,0.4,NA,1.5,1.5
44,grid_n1500_est_r070_etaSrawm06_etaYrawp06_tau04_selCOMMON_nu6,grid_n1500,EST,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0.7,-0.6,0.6,-0.5999999999999999,0.6,0.4,0.4,6,1.5,1.5
45,grid_n1500_esn_r070_etaSrawm06_etaYrawp06_tau04_selMODERATE,grid_n1500,ESN,1500,100,MODERATE,-5;0.15;1,-1.25;0.0375;0.25,5;1.5;0.8,4,3,0.7,-0.6,0.6,-0.5999999999999999,0.6,0.4,0.4,NA,1.5,1.5
46,grid_n1500_est_r070_etaSrawm06_etaYrawp06_tau04_selMODERATE_nu6,grid_n1500,EST,1500,100,MODERATE,-5;0.15;1,-1.25;0.0375;0.25,5;1.5;0.8,4,3,0.7,-0.6,0.6,-0.5999999999999999,0.6,0.4,0.4,6,1.5,1.5
47,grid_n1500_esn_r070_etaSrawm06_etaYrawp06_tau04_selRARE,grid_n1500,ESN,1500,100,RARE,-7;0.15;1,-1.75;0.0375;0.25,5;1.5;0.8,4,3,0.7,-0.6,0.6,-0.5999999999999999,0.6,0.4,0.4,NA,1.5,1.5
48,grid_n1500_est_r070_etaSrawm06_etaYrawp06_tau04_selRARE_nu6,grid_n1500,EST,1500,100,RARE,-7;0.15;1,-1.75;0.0375;0.25,5;1.5;0.8,4,3,0.7,-0.6,0.6,-0.5999999999999999,0.6,0.4,0.4,6,1.5,1.5
49,grid_n1500_esn_r070_etaSrawm10_etaYrawp10_tau04_selCOMMON,grid_n1500,ESN,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0.7,-1,1,-0.9999999999999999,0.9999999999999999,0.4,0.4,NA,1.5,1.5
50,grid_n1500_est_r070_etaSrawm10_etaYrawp10_tau04_selCOMMON_nu6,grid_n1500,EST,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0.7,-1,1,-0.9999999999999999,0.9999999999999999,0.4,0.4,6,1.5,1.5
51,grid_n1500_esn_r070_etaSrawm10_etaYrawp10_tau04_selMODERATE,grid_n1500,ESN,1500,100,MODERATE,-5;0.15;1,-1.25;0.0375;0.25,5;1.5;0.8,4,3,0.7,-1,1,-0.9999999999999999,0.9999999999999999,0.4,0.4,NA,1.5,1.5
52,grid_n1500_est_r070_etaSrawm10_etaYrawp10_tau04_selMODERATE_nu6,grid_n1500,EST,1500,100,MODERATE,-5;0.15;1,-1.25;0.0375;0.25,5;1.5;0.8,4,3,0.7,-1,1,-0.9999999999999999,0.9999999999999999,0.4,0.4,6,1.5,1.5
53,grid_n1500_esn_r070_etaSrawm10_etaYrawp10_tau04_selRARE,grid_n1500,ESN,1500,100,RARE,-7;0.15;1,-1.75;0.0375;0.25,5;1.5;0.8,4,3,0.7,-1,1,-0.9999999999999999,0.9999999999999999,0.4,0.4,NA,1.5,1.5
54,grid_n1500_est_r070_etaSrawm10_etaYrawp10_tau04_selRARE_nu6,grid_n1500,EST,1500,100,RARE,-7;0.15;1,-1.75;0.0375;0.25,5;1.5;0.8,4,3,0.7,-1,1,-0.9999999999999999,0.9999999999999999,0.4,0.4,6,1.5,1.5
55,n_sweep_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_n500,n_sweep,ESN,500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,1.5,1.5
56,n_sweep_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6_n500,n_sweep,EST,500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,1.5,1.5
57,n_sweep_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_n1000,n_sweep,ESN,1000,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,1.5,1.5
58,n_sweep_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6_n1000,n_sweep,EST,1000,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,1.5,1.5
59,n_sweep_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_n1500,n_sweep,ESN,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,1.5,1.5
60,n_sweep_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6_n1500,n_sweep,EST,1500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,1.5,1.5
61,n_sweep_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_n2000,n_sweep,ESN,2000,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,1.5,1.5
62,n_sweep_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6_n2000,n_sweep,EST,2000,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,1.5,1.5
63,n_sweep_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_n2500,n_sweep,ESN,2500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,1.5,1.5
64,n_sweep_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6_n2500,n_sweep,EST,2500,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,1.5,1.5
65,n_sweep_esn_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_n3000,n_sweep,ESN,3000,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,NA,1.5,1.5
66,n_sweep_est_r000_etaSrawm03_etaYrawp03_tau04_selCOMMON_nu6_n3000,n_sweep,EST,3000,100,COMMON,-3;0.15;1,-0.75;0.0375;0.25,5;1.5;0.8,4,3,0,-0.3,0.3,-0.3,0.3,0.4,0.4,6,1.5,1.5
