scenario,scenario_label,dgp_family,fit_family,n,reps,finite_fit_rate,conv_rate,n_converged,abnormal_rate,stage1_failed_rate,eligible_for_mean_IC,mean_selection_rate,mean_logLik,mean_AIC,mean_BIC,mean_AICc,mean_k_params,mean_k_package_implied,rmse_betaOut_1,rmse_betaOut_2,rmse_betaOut_3,rmse_sigmaY,rmse_rho,rmse_etaS,rmse_etaY,rmse_tau_bar,rmse_nu,bias_sigmaY,bias_rho,mean_etaS_hat,mean_etaY_hat,mean_tau_bar_hat,mean_nu_hat,share_etaS_near_boundary,share_etaY_near_boundary,share_tau_near_boundary,mean_seconds,sd_seconds,best_AIC,best_AIC_conv_rate,best_BIC,best_BIC_conv_rate
hidden_truncation_skewness,hidden-truncation skewness,ESN,CN,1000,50,1,1,50,0,NA,TRUE,0.34086,-1327.2708027767655,2674.541605553531,2723.6191583433524,2674.764052469608,10,1.000000000000017,0.61831350428077,0.12458603523859331,0.11515053070279975,0.20518149394856133,0.18588844870986154,NA,NA,NA,NA,-0.11596123606842053,0.14183162853198641,NA,NA,NA,NA,NA,NA,NA,456.54354,154.79279550012419,NH,1,NH,1
hidden_truncation_skewness,hidden-truncation skewness,ESN,ESN,1000,50,1,1,50,0,0,TRUE,0.34086,-1326.326211081448,2674.652422162896,2728.6377302316996,2674.919628640629,11,NA,2.0545265059370132,0.12435469021257088,0.11605073815706379,0.6605655325485041,0.2570618448195355,1.360855000232628,1.1786790552770239,1.061085415617352,NA,0.43079190865252265,0.12389624049683905,-0.2680558566093039,0.05849212814567927,0.4656656433458506,NA,0.7,0.22,0.24,15342.1057,2634.3184275358803,NH,1,NH,1
hidden_truncation_skewness,hidden-truncation skewness,ESN,EST,1000,50,1,1,50,0,0,TRUE,0.34086,-1333.2675497660382,2690.5350995320764,2749.428162879862,2690.851208954569,12,NA,1.1854775209668873,0.13050256702032584,0.11556759005701848,0.602545725356276,0.3582737321309433,0.6666716857265982,1.3265761201497768,0.992557741362031,NA,0.4433986780379788,0.3315886481831527,-1.3166809078844453,-0.5791102122771196,1.4925577336616822,4,0.6,0.02,1,17487.16012,1595.1564204742529,NH,1,NH,1
hidden_truncation_skewness,hidden-truncation skewness,ESN,HT,1000,50,1,1,50,0,NA,TRUE,0.34086,-1327.338466275066,2672.676932550132,2716.846730060971,2672.85875073195,9,1.000000000000017,0.6225688588105719,0.1250471950680618,0.11500579537380938,0.21099742439834035,0.1854598199284636,NA,NA,NA,NA,-0.1338499325749678,0.14092139993829705,NA,NA,NA,NA,NA,NA,NA,127.60268,46.005586800238575,NH,1,NH,1
hidden_truncation_skewness,hidden-truncation skewness,ESN,NH,1000,50,1,1,50,0,NA,TRUE,0.34086,-1327.4375880715102,2670.8751761430203,2710.137218374877,2671.0204839129497,8,1.000000000000017,0.6128732649157901,0.12460127005520003,0.11509949685322189,0.1856415310003644,0.18766026444836792,NA,NA,NA,NA,-0.07610149747062409,0.14347552780206757,NA,NA,NA,NA,NA,NA,NA,82.21016,35.48551557993596,NH,1,NH,1
